COD,DENUMIRE,LOCALITATE,JUDET
1001,CRUCEA GRANARILOR CALUGARENI,CALUGARENI,GIURGIU,44.17, 26.14
1002,STATUIA LUI MIHAI VITEAZU,CALUGARENI,GIURGIU,44.18, 26.00
1003,BISERICA SF VOIEVOZI,CALUGARENI,GIURGIU,44.17, 26.14
1004,MONUMENT MIHAI VITEAZU,CALUGARENI,GIURGIU, 43.96, 25.96
1005,Biserica Sf. Petru si Pavel Sat Cetatea,CETATEA,GIURGIU,44.1711618, 26.145022
1006,PARCUL NATURAL COMANA,COMANA,GIURGIU,43.7365012,25.710717
1007,MANASTIREA DELTA NEAJLOVULUI,COMANA,GIURGIU,44.2444664, 26.2324
1008,LACUL COMANA,COMANA,GIURGIU, 44.1711618, 26.145022
1009,PARC AVENTURA COMANA,COMANA,GIURGIU, 43.8938686989718, 25.960942602228
1010,CASA MEMORIALA GELLU NAUM COMANA,COMANA,GIURGIU
1011,MONUMENTUL EROILOR COMANA,COMANA,GIURGIU
1012,MANASTIREA COMANA,COMANA,GIURGIU
1013,MAUSOLEUL COMANA,COMANA,GIURGIU
1014,AERODROM COMANA,COMANA,GIURGIU
1015,BISERICA ADORMIREA MAICII DOMNULUI BUDENI,COMANA,GIURGIU
1016,MANASTIREA BUNA VESTIRE,BOLINTIN VALE,GIURGIU
1017,CRUCEA DE PIATRA MIHAI VITEAZU,CRUCEA DE PIATRA,GIURGIU
1018,BISERICA SF. ILIE CRUCEA DE PIATRA,CRUCEA DE PIATRA,GIURGIU
1019,BISERICA SF PARASCHEVA DARASTI,DARASTI,GIURGIU
1020,BISERICA DOBRENI,DOBRENI,GIURGIU
1021,MONUMENTUL EROILOR DOBRENI,DOBRENI,GIURGIU
1022,Muzeul Satesc din Fratesti,FRATESTI,GIURGIU
1023,Biserica Sf. Ecaterina din Fratesti,FRATESTI,GIURGIU
1024,Biserica Adormirii Maicii Domnului Gaujani,GAUJANI,GIURGIU
1025,Biserica Adventista Gaujani,GAUJANI,GIURGIU
1026,Cetatea Giurgiu,GIURGIU,GIURGIU
1027,BISERICA SF GHEORGHE GIURGIU,GIURGIU,GIURGIU
1028,STATUIA TRIUMF GIURGIU,GIURGIU,GIURGIU
1029,PRIMARIA GIURGIU,GIURGIU,GIURGIU
1030,STATUIA LUI VLAD TEPES GIURGIU,GIURGIU,GIURGIU
