1417,﻿Cula Cuțui,Stronghold Cutui,Broșteni, Mehedinţi,44.760206,22.980387
1419,Conacul Raduțeștilor,Raduţeştilor Mansion,Butoiești, Mehedinţi,44.587179,23.372623
1419,Conacul Raduțeștilor,Raduţeştilor Mansion,Butoiești, Mehedinţi,44.5876522,23.3708185
1420,Muzeul Satului Cerneți,Village Museum Cerneţi,Cerneți, Mehedinţi,51.3015728,31.9557757
1421,Bust Tudor Vladimirescu,Bust Tudor Vladimirescu,Cerneți, Mehedinţi,51.3015728,31.9557757
1424,Cula lui Tudor Vladimirescu,Stronghold of Tudor Vladimirescu,Cerneți, Mehedinţi,51.3015728,31.9557757
1425,Cula Nistor,Stronghold Nistor,Cerneți, Mehedinţi,51.3015728,31.9557757
1426,Cetatea Tricule,Tricule Citadel,4 km de Sviniţa, Mehedinţi,44.498257,22.102086
1428,Conacul Anton Bibescu,Anton Bibescu Mansion,Corcova, Mehedinţi,44.6966102,23.037202
1429,Podgoria Corcova,Vineyard Corcova,Corcova, Mehedinţi,44.6966102,23.037202
1431,Bustul lui Decebal,Bust of Decebal,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1432,Cetatea Medievală a Severinului,Medieval Fortress of Severin,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1433,Palatul Theodor Costescu,Theodor Costescu Palace,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1434,Bustul Traian,Traian Bust,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1435,Episcopia Severinului,Diocese of Severin,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1436,Banca Comercială,Commercial Bank,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1437,Monumentul Eroilor,Heroes Monument,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1438,Colegiul Național Traian,Traian National College,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1439,Bust Traian - Parcul Traian,Bust Traian - Traian Park,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1440,Casa Dr. Popescu Crivina,House Dr. Popescu Crivina,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1441,Hala Radu Negru,Radu Negru Hall,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1443,Castelul de Apă,The Water Castle,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1444,Școala Primară de Fete,Girls Primary School,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1445,Școala Primară de Băieți,Primary School for Boys,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1446,Muzeul Regiunii Porțile de Fier,Iron Gates Region Museum,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1448,Termele Drobetei,Drobeta Thermae,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1449,Piciorul Pod Traian,Traian Foot Bridge,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1450,Monument Cripta Eroilor,Heroes Monument Crypt,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1451,Biblioteca Județeană,County Library,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1452,Muzeul de Artă,Art Museum,Drobeta Turnu Severin, Mehedinţi,44.6319444,22.6561111
1453,Bust Gheorghe Anghel,Bust Gheorghe Anghel,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1455,Monument Marius Vorvoreanu,Monument Marius Vorvoreanu,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1458,Portul Severin,Port Severin,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1459,Monument Carol I,Monument Carol I,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1460,Monumentul Marinarilor,Sailors Monument,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1461,Casa Matache,House Matache,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1469,Monument Eroi România Mare,not defined,Mehedinţi,Mehedinţi,44.551505,22.904416
1470,Monument Porțile de Fier,Iron Gates Monument,Porțile de Fier, Mehedinţi,44.551505,22.904416
1471,Muzeul Porțile de Fier,Iron Gates Museum,Porțile de Fier, Mehedinţi,44.551505,22.904416
1472,Palatul Gheorghe Pleșa,George Pleşa Palace,Obârșia de Câmp, Mehedinţi,44.1719825,22.9823393
1474,Statuie Mihai Eminescu,Mihai Eminescu Statue,Orșova, Mehedinţi,44.7243925,22.3964554
1475,Far Orșova,Lighthouse Orşova,Orșova, Mehedinţi,44.7243925,22.3964554
1476,Monumentul Eroilor,Heroes Monument,Orșova, Mehedinţi,44.7243925,22.3964554
1477,Monumentul Dezrădăcinați 1950,Monument Uprooted 1950,Orșova, Mehedinţi,44.7243925,22.3964554
1482,Bust Mihai Eminescu,Mihai Eminescu Bust,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1483,Monument Victimele Comunism,Victims of Communism Memorial,Drobeta-Turnu Severin, Mehedinţi,44.6319444,22.6561111
1485,Podul lui Dumnezeu,God's Bridge,Ponoarele, Mehedinţi,44.970572,22.7807157
1488,Statuia Danubia,Statue Danubia,Orşova, Mehedinţi,44.7243925,22.3964554
1489,Statuia lui Decebal,Statue of Decebal,Orşova, Mehedinţi,44.7243925,22.3964554
